City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bahia de kino,29.2134,-112.0192,308.69,22,0,4.83,MX,1686611117
1,harda khas,22.4054,76.982,305.48,47,58,5.78,IN,1686611118
2,ust-nera,6.9119,0.0126,297.93,74,26,4.43,GH,1686611119
3,piti village,-27.7552,-58.0864,282.41,44,96,4.66,AR,1686611120
4,tan-tan,19.5419,33.3064,305.61,17,1,4.58,SD,1686611121
5,fort bragg,28.8891,-12.1784,294.97,85,4,6.78,MA,1686611121
6,iqaluit,62.6759,42.3033,287.56,59,98,4.15,RU,1686611122
7,lihue,61.81,75.2827,277.27,87,99,5.17,RU,1686611123
8,holualoa,67.9924,-127.2322,286.56,46,80,9.85,CA,1686611127
9,nuuk,-25.922,-57.0448,283.79,53,100,3.9,PY,1686611127
10,happy valley-goose bay,68.7788,72.9599,273.69,80,5,5.59,RU,1686611127
11,inga,62.94,-49.5577,275.79,80,94,2.95,GL,1686611128
12,yellowknife,63.3794,-179.3296,277.52,94,3,4.87,RU,1686611129
13,prado,42.8428,143.7554,285.55,96,100,1.91,JP,1686611129
14,grytviken,59.6323,24.016,287.04,62,2,1.86,EE,1686611130
15,cidade velha,65.3735,21.2286,284.02,48,36,4.93,SE,1686611130
16,talnakh,-31.3651,-53.1401,275.52,72,1,1.4,BR,1686611133
17,wailua homesteads,41.9454,-111.6413,285.71,69,67,2.71,US,1686611133
18,stanley,39.1856,-113.5109,297.01,22,63,2.81,US,1686611135
19,lae,50.8005,82.0349,284.87,60,29,1.69,KZ,1686611137
20,salinopolis,60.1783,137.1336,287.87,74,39,2.4,RU,1686611138
21,sangin,-3.4291,34.2662,292.68,62,46,2.67,TZ,1686611138
22,kwang binh,48.3477,80.7382,282.39,66,31,3.68,KZ,1686611138
23,enewetak,31.2176,9.3456,301.67,33,0,5.87,TN,1686611139
24,blackmans bay,48.6485,-103.243,298.53,29,100,1.78,US,1686611143
25,vilyuchinsk,-6.3953,148.079,301.1,77,26,7.64,PG,1686611144
26,tazovsky,32.5796,65.0899,298.9,15,0,2.67,AF,1686611144
27,kununurra,17.543,106.2922,299.65,79,100,4.85,VN,1686611145
28,thompson,-42.4078,67.6243,286.58,92,100,7.88,TF,1686611147
29,santarem,28.3181,105.6178,290.8,81,94,1.7,CN,1686611148
30,trinidad,48.5029,24.8096,280.65,97,100,0.51,UA,1686611151
31,kapa'a,4.3783,120.7069,302.7,74,11,3.59,PH,1686611153
32,heihe,75.554,-114.5807,273.15,82,18,1.45,CA,1686611154
33,dongola,-18.584,128.7729,292.75,38,45,5.26,AU,1686611156
34,kani keli,-4.8962,-44.2782,298.88,63,28,0.89,BR,1686611156
35,kruisfontein,67.0101,-133.141,291.73,46,100,4.06,CA,1686611157
36,port mathurin,46.1292,28.9288,285.92,83,86,5.9,MD,1686611159
37,kavaratti,57.4487,-125.4075,289.87,42,100,4.09,CA,1686611162
38,muisne,-2.7177,-54.6031,299.64,91,69,1.02,BR,1686611162
39,isafjordur,-15.2344,11.1679,291.24,79,3,11.03,AO,1686611163
40,balkanabat,-20.9729,13.655,286.41,84,0,4.87,NA,1686611164
41,yaransk,-43.6657,66.8732,286.54,79,100,4.24,TF,1686611165
42,kodiak,53.5924,-88.6333,301.92,20,10,2.19,CA,1686611165
43,lodwar,54.9136,43.4453,280.73,85,0,3.91,RU,1686611165
44,pieksamaki,20.9435,-80.84,302.35,73,37,4.69,CU,1686611166
45,aasiaat,38.3331,128.1152,288.67,85,76,1.45,KR,1686611166
46,ad dabbah,1.2746,34.6586,284.8,85,88,2.0,UG,1686611166
47,dunedin,39.308,16.7178,287.35,87,13,2.24,IT,1686611167
48,benguela,49.9045,127.4133,294.19,72,4,0.57,CN,1686611168
49,novoishimskiy,45.2738,-102.0021,299.51,29,94,1.83,US,1686611169
50,mount pearl,-1.0517,109.538,298.12,89,53,2.52,ID,1686611169
51,michigan city,17.0353,-102.5845,301.45,75,14,7.16,MX,1686611169
52,punta cardon,60.2398,101.2426,283.1,59,100,2.71,RU,1686611170
53,ola,40.6659,49.1815,295.15,59,2,1.52,AZ,1686611171
54,padre bernardo,42.2162,127.7875,287.25,81,98,0.43,CN,1686611172
55,cannonvale,-13.6579,45.39,299.35,62,0,3.96,YT,1686611173
56,klyuchi,67.9778,31.2959,285.65,90,100,2.42,RU,1686611173
57,vila franca do campo,53.1123,-58.5006,288.38,40,41,3.59,CA,1686611174
58,fuvahmulah,66.5534,13.9646,278.7,94,72,2.6,NO,1686611174
59,villa ocampo,30.0791,43.1861,304.57,20,0,7.57,SA,1686611174
60,awjilah,19.6651,-8.1119,306.98,14,88,6.18,MR,1686611175
61,freetown,-25.5257,-129.1326,293.52,61,9,2.78,PN,1686611180
62,burao,65.1532,151.7042,277.3,94,100,11.18,RU,1686611181
63,bhimunipatnam,30.1854,97.8345,276.9,92,100,1.86,CN,1686611181
64,broome,31.1475,23.1541,295.3,65,0,6.04,LY,1686611182
65,mount isa,38.0511,43.7681,281.42,64,58,1.98,TR,1686611185
66,ishigaki,41.0157,54.2736,300.96,38,2,3.26,TM,1686611185
67,port alberni,62.9372,96.998,281.81,64,100,3.37,RU,1686611186
68,kailua-kona,57.3273,48.2586,279.92,73,0,1.02,RU,1686611187
69,badger,58.1779,-152.5166,284.38,71,74,1.26,US,1686611187
70,st. john's,4.2487,36.0165,302.51,59,96,2.88,ET,1686611188
71,birjand,62.4318,27.0672,283.5,60,100,2.44,FI,1686611188
72,touros,16.4791,30.1889,306.71,30,42,2.25,SD,1686611189
73,opuwo,11.417,123.5753,301.75,76,81,3.73,PH,1686611190
74,bodaybo,2.4731,95.6711,301.59,69,72,0.27,ID,1686611191
75,karratha,64.1994,-114.2532,283.01,53,20,7.2,CA,1686611192
76,harlan,11.3484,9.7143,301.18,59,44,4.12,NG,1686611192
77,nar'yan-mar,36.3747,1.2653,296.41,53,20,1.54,DZ,1686611193
78,turkmenbasy,28.0279,-13.6265,295.57,83,10,6.7,ES,1686611193
79,hamilton,63.8508,-164.1796,279.13,87,48,6.3,US,1686611195
80,mu'minobod,53.864,66.521,284.55,51,100,3.32,KZ,1686611201
81,mogocha,-51.6127,-56.1744,276.45,69,73,15.32,FK,1686611201
82,fale old settlement,41.7006,-87.0024,293.17,50,0,3.6,US,1686611202
83,tabas,54.3901,-122.0385,298.6,29,85,3.05,CA,1686611203
84,muang phonsavan,2.8614,72.275,301.78,77,49,7.49,MV,1686611203
85,san buenaventura,11.3634,-70.9218,301.41,79,73,15.77,VE,1686611205
86,aldinga beach,-8.8659,159.5924,301.72,76,65,4.39,SB,1686611207
87,bamboo flat,64.9533,-110.4941,285.24,20,0,4.47,CA,1686611207
88,basco,38.1185,-86.1762,293.96,59,60,2.24,US,1686611208
89,likasi,-19.0972,-55.3474,291.0,85,100,3.24,BR,1686611209
90,bubaque,62.8146,156.3908,295.85,42,56,1.52,RU,1686611209
